item_id,price,age,customer_name,customer_email,Age_Group,Customer_Type,Price_Range,Customer_Status
131.0,813.6480131465942,61.0,JoshGreenholt,Alvera.Koch29@yahoo.com,56-65,high spender,high,Active
473.0,16.472743737976998,24.0,Dr.AlvinKiehn,Llewellyn.Nader5@yahoo.com,18-25,low spender,low,Active
789.0,76.0,44.0,EdmundHudson,Andre_DuBuque69@hotmail.com,36-45,low spender,low,inactive
8.0,0.0,7.0,KristineHowePhD,Sid_Lubowitz@yahoo.com,66+,low spender,low,inactive
99.0,7.0,59.0,EllaHarvey,Griffin_Pfeffer74@gmail.com,56-65,low spender,low,inactive
176.0,102.00595618691295,70.0,Mr.JulioCarroll,Kari19@yahoo.com,66+,medium spender,medium,inactive
657.0,20.954852695576847,41.0,ToniMorissette,Jermaine91@hotmail.com,36-45,low spender,low,inactive
667.0,30.4284978331998,43.0,MarianneKrisV,Keyon_Hilll@hotmail.com,36-45,low spender,low,inactive
417.0,351.08799929730594,42.0,OliverBartoletti,Ola_Champlin79@gmail.com,36-45,medium spender,medium,Active
69.0,889.9555449606851,36.0,Mrs.VeronicaDenesik-GrimesJr.,Geraldine.Johnson@yahoo.com,36-45,high spender,high,Active
949.0,863.4168464550748,60.0,ChrisLarkin,Henriette_Nader-Zulauf@hotmail.com,56-65,high spender,high,inactive
602.0,324.0551047027111,65.0,StewartHintz,Leonardo_Nader@yahoo.com,56-65,medium spender,medium,Active
679.0,206.61258103093127,69.0,OliviaKirlin,Ubaldo_Heathcote@hotmail.com,66+,medium spender,medium,Inactive
400.0,830.0783559703268,50.0,BetsyWiegand,Ophelia_Mohr@yahoo.com,46-55,high spender,high,Active
575.0,42.18240237701684,67.0,CedricTorphyPhD,Angeline95@gmail.com,56-65,low spender,low,inactive
941.0,220.3708628518507,28.0,HollyTromp,Lafayette_Predovic16@hotmail.com,26-35,medium spender,medium,Active
762.0,235.1469394983724,26.0,DiannaMohr,Lydia_Fahey@gmail.com,18-25,medium spender,medium,inactive
697.0,125.0,48.0,Mrs.SylviaMcLaughlin,Susan.Mraz@gmail.com,46-55,medium spender,medium,Active
23.0,979.1941610816866,48.0,MichealSchinner,Milford_Bartell27@gmail.com,46-55,high spender,high,Active
